,full,long,lat,order,hole,piece,group,fips,abbr,V2,State,Median_IBU,l_state
111,Alabama,1351516.818,-1130238.602,56,FALSE,1,1.1,1,AL,AL, AL,43,alabama
112,Alabama,1355516.71,-1142482.599,57,FALSE,1,1.1,1,AL,AL, AL,43,alabama
113,Alabama,1359813.909,-1155627.11,58,FALSE,1,1.1,1,AL,AL, AL,43,alabama
114,Alabama,1361446.921,-1160643.066,59,FALSE,1,1.1,1,AL,AL, AL,43,alabama
115,Alabama,1363348.139,-1166481.071,60,FALSE,1,1.1,1,AL,AL, AL,43,alabama
116,Alabama,1373717.689,-1198289.251,61,FALSE,1,1.1,1,AL,AL, AL,43,alabama
117,Alabama,1374464.086,-1200576.645,62,FALSE,1,1.1,1,AL,AL, AL,43,alabama
118,Alabama,1374464.159,-1200576.868,63,FALSE,1,1.1,1,AL,AL, AL,43,alabama
119,Alabama,1382767.807,-1225920.816,64,FALSE,1,1.1,1,AL,AL, AL,43,alabama
1,Alabama,1383075.824,-1226860.252,65,FALSE,1,1.1,1,AL,AL, AL,43,alabama
2,Alabama,1385825.248,-1230278.315,66,FALSE,1,1.1,1,AL,AL, AL,43,alabama
14,Alabama,1390462.053,-1237912.995,67,FALSE,1,1.1,1,AL,AL, AL,43,alabama
15,Alabama,1391771.692,-1240067.625,68,FALSE,1,1.1,1,AL,AL, AL,43,alabama
3,Alabama,1395380.616,-1247594.597,69,FALSE,1,1.1,1,AL,AL, AL,43,alabama
4,Alabama,1397381.548,-1252860.022,70,FALSE,1,1.1,1,AL,AL, AL,43,alabama
5,Alabama,1398381.31,-1255490.042,71,FALSE,1,1.1,1,AL,AL, AL,43,alabama
6,Alabama,1405196.997,-1260956.733,72,FALSE,1,1.1,1,AL,AL, AL,43,alabama
7,Alabama,1405983.598,-1262361.518,73,FALSE,1,1.1,1,AL,AL, AL,43,alabama
8,Alabama,1406160.736,-1262677.825,74,FALSE,1,1.1,1,AL,AL, AL,43,alabama
9,Alabama,1409846.452,-1269255.915,75,FALSE,1,1.1,1,AL,AL, AL,43,alabama
10,Alabama,1410072.426,-1276402.86,76,FALSE,1,1.1,1,AL,AL, AL,43,alabama
11,Alabama,1410128.183,-1278178.736,77,FALSE,1,1.1,1,AL,AL, AL,43,alabama
12,Alabama,1408295.709,-1281490.749,78,FALSE,1,1.1,1,AL,AL, AL,43,alabama
13,Alabama,1413680.315,-1283996.852,79,FALSE,1,1.1,1,AL,AL, AL,43,alabama
54,Alabama,1420333.346,-1287595.825,80,FALSE,1,1.1,1,AL,AL, AL,43,alabama
55,Alabama,1418281.563,-1291629.763,81,FALSE,1,1.1,1,AL,AL, AL,43,alabama
16,Alabama,1417537.291,-1293091.629,82,FALSE,1,1.1,1,AL,AL, AL,43,alabama
17,Alabama,1411826.282,-1297894.592,83,FALSE,1,1.1,1,AL,AL, AL,43,alabama
18,Alabama,1406994.868,-1304317.386,84,FALSE,1,1.1,1,AL,AL, AL,43,alabama
19,Alabama,1408903.921,-1309454.211,85,FALSE,1,1.1,1,AL,AL, AL,43,alabama
20,Alabama,1408923.964,-1312280.172,86,FALSE,1,1.1,1,AL,AL, AL,43,alabama
21,Alabama,1408977.803,-1320195.686,87,FALSE,1,1.1,1,AL,AL, AL,43,alabama
22,Alabama,1408995.744,-1322950.227,88,FALSE,1,1.1,1,AL,AL, AL,43,alabama
23,Alabama,1405932.005,-1331819.455,89,FALSE,1,1.1,1,AL,AL, AL,43,alabama
24,Alabama,1404243.975,-1338204.348,90,FALSE,1,1.1,1,AL,AL, AL,43,alabama
25,Alabama,1406413.701,-1344459.647,91,FALSE,1,1.1,1,AL,AL, AL,43,alabama
26,Alabama,1407050.569,-1346295.264,92,FALSE,1,1.1,1,AL,AL, AL,43,alabama
